feature_name;method;feature_rank;dataset
zipcode;CART;2.0;austin_housing
latitude;CART;4.0;austin_housing
longitude;CART;7.0;austin_housing
propertyTaxRate;CART;23.5;austin_housing
garageSpaces;CART;23.5;austin_housing
hasAssociation;CART;11.0;austin_housing
hasGarage;CART;23.5;austin_housing
hasSpa;CART;16.0;austin_housing
hasView;CART;23.5;austin_housing
homeType;CART;16.0;austin_housing
parkingSpaces;CART;23.5;austin_housing
yearBuilt;CART;7.0;austin_housing
numPriceChanges;CART;11.0;austin_housing
numOfAppliances;CART;7.0;austin_housing
numOfParkingFeatures;CART;16.0;austin_housing
numOfPatioAndPorchFeatures;CART;16.0;austin_housing
numOfSecurityFeatures;CART;23.5;austin_housing
numOfWindowFeatures;CART;23.5;austin_housing
lotSizeSqFt;CART;16.0;austin_housing
livingAreaSqFt;CART;1.0;austin_housing
avgSchoolDistance;CART;11.0;austin_housing
avgSchoolRating;CART;5.0;austin_housing
avgSchoolSize;CART;9.0;austin_housing
MedianStudentsPerTeacher;CART;16.0;austin_housing
numOfBathrooms;CART;3.0;austin_housing
numOfBedrooms;CART;16.0;austin_housing
numOfStories;CART;23.5;austin_housing
