feature_name;method;feature_rank;dataset
propertyTaxRate;Random_forest;24.0;austin_housing
hasGarage;Random_forest;24.0;austin_housing
hasView;Random_forest;24.0;austin_housing
numOfWindowFeatures;Random_forest;24.0;austin_housing
garageSpaces;Random_forest;15.0;austin_housing
hasSpa;Random_forest;15.0;austin_housing
homeType;Random_forest;15.0;austin_housing
parkingSpaces;Random_forest;15.0;austin_housing
numOfParkingFeatures;Random_forest;15.0;austin_housing
numOfPatioAndPorchFeatures;Random_forest;15.0;austin_housing
lotSizeSqFt;Random_forest;15.0;austin_housing
MedianStudentsPerTeacher;Random_forest;15.0;austin_housing
numOfStories;Random_forest;15.0;austin_housing
hasAssociation;Random_forest;12.0;austin_housing
numOfSecurityFeatures;Random_forest;12.0;austin_housing
numOfBedrooms;Random_forest;12.0;austin_housing
numOfAppliances;Random_forest;11.0;austin_housing
numPriceChanges;Random_forest;9.0;austin_housing
avgSchoolDistance;Random_forest;9.0;austin_housing
avgSchoolSize;Random_forest;8.0;austin_housing
avgSchoolRating;Random_forest;7.0;austin_housing
yearBuilt;Random_forest;6.0;austin_housing
latitude;Random_forest;4.0;austin_housing
longitude;Random_forest;4.0;austin_housing
zipcode;Random_forest;3.0;austin_housing
numOfBathrooms;Random_forest;2.0;austin_housing
livingAreaSqFt;Random_forest;1.0;austin_housing
