feature_name;method;feature_rank;dataset
bedrooms;Linear_regression;3.0;USA_houseprices_2014
bathrooms;Linear_regression;9.0;USA_houseprices_2014
sqft_living;Linear_regression;1.0;USA_houseprices_2014
sqft_lot;Linear_regression;2.0;USA_houseprices_2014
floors;Linear_regression;11.5;USA_houseprices_2014
waterfront;Linear_regression;4.0;USA_houseprices_2014
view;Linear_regression;5.0;USA_houseprices_2014
condition;Linear_regression;7.0;USA_houseprices_2014
sqft_basement;Linear_regression;6.0;USA_houseprices_2014
year_since_1st_renovation;Linear_regression;11.5;USA_houseprices_2014
city;Linear_regression;8.0;USA_houseprices_2014
statezip;Linear_regression;11.5;USA_houseprices_2014
have_basement;Linear_regression;11.5;USA_houseprices_2014
bedrooms;Ridge_regression;12.0;USA_houseprices_2014
bathrooms;Ridge_regression;2.0;USA_houseprices_2014
sqft_living;Ridge_regression;1.0;USA_houseprices_2014
sqft_lot;Ridge_regression;9.0;USA_houseprices_2014
floors;Ridge_regression;7.5;USA_houseprices_2014
waterfront;Ridge_regression;4.0;USA_houseprices_2014
view;Ridge_regression;3.0;USA_houseprices_2014
condition;Ridge_regression;6.0;USA_houseprices_2014
sqft_basement;Ridge_regression;5.0;USA_houseprices_2014
year_since_1st_renovation;Ridge_regression;11.0;USA_houseprices_2014
city;Ridge_regression;7.5;USA_houseprices_2014
statezip;Ridge_regression;10.0;USA_houseprices_2014
have_basement;Ridge_regression;13.0;USA_houseprices_2014
bedrooms;Lasso_regression;3.0;USA_houseprices_2014
bathrooms;Lasso_regression;9.0;USA_houseprices_2014
sqft_living;Lasso_regression;1.0;USA_houseprices_2014
sqft_lot;Lasso_regression;2.0;USA_houseprices_2014
floors;Lasso_regression;11.5;USA_houseprices_2014
waterfront;Lasso_regression;4.0;USA_houseprices_2014
view;Lasso_regression;5.0;USA_houseprices_2014
condition;Lasso_regression;7.0;USA_houseprices_2014
sqft_basement;Lasso_regression;6.0;USA_houseprices_2014
year_since_1st_renovation;Lasso_regression;11.5;USA_houseprices_2014
city;Lasso_regression;8.0;USA_houseprices_2014
statezip;Lasso_regression;11.5;USA_houseprices_2014
have_basement;Lasso_regression;11.5;USA_houseprices_2014
season;Linear_regression;6.0;Bike_sharing
yr;Linear_regression;4.0;Bike_sharing
mnth;Linear_regression;12.0;Bike_sharing
hr;Linear_regression;3.0;Bike_sharing
holiday;Linear_regression;8.0;Bike_sharing
weekday;Linear_regression;9.0;Bike_sharing
workingday;Linear_regression;11.0;Bike_sharing
weathersit;Linear_regression;10.0;Bike_sharing
